date,holdings
2025-01-01,446400
2025-01-06,447470
2025-01-13,450000
2025-01-21,461000
2025-01-27,471107
2025-02-10,478740
2025-02-24,499096
2025-03-17,499226
2025-03-24,506137
2025-03-31,528185
2025-04-14,531644
2025-04-21,538200
2025-04-28,553555
2025-05-05,555450
2025-05-12,568840
2025-05-19,576230
2025-05-26,580250
2025-06-02,580955
2025-06-16,592100
2025-06-23,592345
2025-06-30,597325
2025-07-14,601550
2025-07-21,607770
2025-07-29,628791
2025-08-11,629096
2025-08-18,629376
2025-08-25,632457
2025-09-02,636505
2025-09-08,638460
2025-09-15,638985
2025-09-22,639835
2025-09-29,640031
2025-10-13,640250
2025-10-20,640418
2025-10-27,640808
2025-11-03,641205
2025-11-10,641692
2025-11-17,649870
2025-12-01,650000
2025-12-08,660624
2025-12-15,671268
2025-12-29,672497
2025-12-31,672500
2026-01-05,673783
2026-01-12,687410
2026-01-20,709715
2026-01-26,712647
2026-02-02,713502
2026-02-09,714644
2026-02-17,717131
2026-02-23,717722
2026-03-02,720737
2026-03-09,738731
